ano,zona,regiao_administrativa,ips_geral,necessidades_humanas_basicas_nota_dimensao,nutricao_cuidados_medicos_basicos,agua_saneamento,moradia,seguranca_pessoal,fundamentos_bem_estar_nota_dimensao,acesso_conhecimento_basico,acesso_informacao,saude_bem_estar,qualidade_meio_ambiente,oportunidades_nota_dimensao,direitos_individuais,liberdades_individuais,tolerancia_inclusao,acesso_educacao_superior,mortalidade_infancia,prop_baixo_peso_nascer,mortalidade_materna,taxa_internacoes_infantis_crise_respiratoria_aguda,prop_acesso_agua_canalizada,prop_acesso_esgotamento_sanitario,prop_acesso_banheiro,prop_populacao_vivendo_favelas_nao_urbanizadas,prop_acesso_energia_eletrica,prop_adensamento_habitacional_excessivo,taxa_homicidios,taxa_roubos_rua,prop_alfabetizacao,qualidade_ensino_fundamental_anos_iniciais,qualidade_ensino_fundamental_anos_finais,prop_abandono_escolar_ensino_medio,prop_acesso_telefone_celular_fixo,prop_acesso_internet,taxa_mortalidade_doencas_cronicas,taxa_incidencia_dengue,taxa_mortalidade_tuberculose_hiv,prop_coleta_seletiva_lixo,degradacao_areas_verdes,prop_mobilidade_urbana,taxa_homicidios_acao_policial,tempo_medio_deslocamento,taxa_participacao_politica,prop_gravidez_adolescencia,trabalho_infantil,indice_acesso_cultura,taxa_violencia_contra_mulher,taxa_homicidios_jovens_negros,prop_vulnerabilidade_familiar,prop_pessoas_ensino_superior,prop_negros_indigenas_ensino_superior,prop_frequencia_ensino_superior,latitude,longitude
2016,Rio de Janeiro,Rio De Janeiro,60.77,75.84,70.19,83.68,78.16,71.34,53.28,49.96,50.89,62.03,50.26,53.2,61.46,54.82,64.14,32.36,2.77,9.21,52.61,8.48,98.47,89.95,98.73,19.16,93.95,5.88,18.07,6.7,52.75,5.24,4.87,11.57,96.25,51.26,184.31,268.73,19.77,2.77,-0.02,34.7,4.4,28.83,0.21,16.42,11.14,30.34,353.56,9.0,2.29,21.26,9.82,28.04,-22.9083,-43.1971
2016,Zona Central,Portuaria,45.33,59.1,87.63,80.8,67.97,0.0,41.67,41.34,20.73,64.74,39.89,35.23,39.35,61.94,34.18,5.43,0.91,7.4,75.81,9.66,99.73,93.97,94.26,13.18,91.12,10.2,44.01,31.17,54.89,4.78,4.96,14.53,93.04,32.35,194.4,130.88,19.25,0.0,-0.02,51.86,10.89,42.94,0.25,20.17,9.51,67.26,601.89,6.13,4.54,3.88,2.1,9.81,-22.893624,-43.187341
2016,Zona Central,Centro,57.75,62.43,59.38,74.18,91.85,24.31,52.41,55.6,56.0,41.04,56.99,58.42,45.89,87.27,52.24,48.26,3.92,10.53,0.0,9.77,99.66,92.23,92.34,0.26,96.91,3.77,28.67,54.73,52.7,5.0,4.75,1.67,97.47,50.76,250.53,183.72,33.4,2.81,0.0,68.68,8.96,31.04,0.3,13.16,0.0,100.0,1009.09,5.41,1.35,24.02,18.03,39.37,-22.9071,-43.1819
2016,Zona Central,Rio Comprido,52.43,58.97,61.22,84.36,64.78,25.52,47.19,34.0,42.08,47.84,64.84,51.14,66.89,50.45,64.74,22.48,3.71,10.29,27.93,7.88,99.46,93.03,96.45,35.44,90.77,8.13,43.02,10.69,60.99,4.83,4.5,9.44,95.31,45.88,201.2,257.99,32.09,4.21,0.01,56.37,4.94,23.25,0.24,16.99,3.69,7.18,417.22,4.94,2.28,15.16,6.63,21.8,-22.9252,-43.2053
2016,Zona Sul,Botafogo,87.12,93.32,85.15,98.49,99.55,90.08,81.13,78.47,86.52,81.46,78.07,86.91,68.19,85.74,94.3,99.39,1.05,9.16,14.8,4.15,99.87,99.07,99.33,1.67,98.66,0.77,4.16,8.16,42.55,5.88,5.56,11.78,99.76,75.55,129.56,233.7,8.33,9.69,-0.0,73.28,0.42,25.65,0.26,4.32,8.33,68.39,217.04,2.5,0.59,57.03,35.17,68.69,-22.9511,-43.1809
2016,Zona Sul,Copacabana,82.93,94.58,86.04,99.32,96.54,96.42,78.09,80.93,81.95,72.39,77.1,76.13,64.65,71.18,85.16,83.53,1.82,8.48,25.58,2.73,99.92,99.36,99.49,4.04,97.2,1.07,3.72,3.34,34.44,6.23,5.25,13.75,99.39,71.96,147.03,201.0,16.75,10.09,-0.01,93.52,1.24,24.71,0.3,7.59,2.48,27.93,362.29,1.24,0.55,50.49,28.34,58.69,-22.9698,-43.1869
2016,Zona Sul,Lagoa,84.94,91.71,79.24,98.86,96.71,92.02,82.97,62.49,89.06,84.58,95.74,80.15,54.77,86.21,98.04,81.59,1.92,9.37,0.0,6.11,99.6,99.44,99.74,2.71,98.63,1.98,4.85,5.57,42.56,5.4,4.9,9.57,99.59,79.68,128.2,165.09,7.86,15.53,-0.0,20.83,0.0,27.6,0.25,5.56,1.82,65.04,210.44,0.0,0.6,58.13,18.82,66.48,-22.9621,-43.2077
2016,Zona Central,São Cristovão,50.72,67.85,70.05,86.36,67.64,47.34,42.29,44.5,34.65,31.45,58.57,42.02,64.15,40.63,46.46,16.83,2.26,8.28,132.22,11.05,99.41,93.17,97.26,26.31,88.83,7.09,27.9,12.53,54.57,5.24,4.56,9.89,95.31,36.6,217.15,183.91,50.96,4.39,-0.01,54.48,7.78,28.55,0.22,18.64,16.46,4.19,462.22,11.48,3.22,8.79,5.84,19.24,-22.8982,-43.2189
2016,Zona Norte,Tijuca,78.13,87.86,82.48,84.62,95.15,89.18,67.13,56.82,80.32,77.75,53.63,79.39,71.18,78.81,88.76,78.82,1.82,8.14,53.57,7.08,96.66,96.03,99.51,3.79,97.32,1.85,4.5,8.48,51.4,5.28,5.01,9.24,99.2,71.07,155.39,125.74,12.08,1.74,-0.0,61.45,3.09,22.18,0.24,8.45,9.33,66.9,266.62,3.32,0.69,46.34,24.62,61.74,-22.9326,-43.241
2016,Zona Norte,Vila Isabel,74.12,85.18,72.45,94.21,86.67,87.4,67.28,63.06,74.99,74.41,56.67,69.88,58.4,61.45,86.49,73.2,1.42,8.82,39.75,17.9,98.71,98.54,99.49,12.92,92.86,2.12,6.69,7.03,47.33,5.55,4.87,6.84,98.54,68.2,142.2,355.24,8.92,2.45,0.0,29.35,0.21,30.08,0.23,12.87,7.34,29.04,256.94,3.15,1.19,40.72,25.81,54.24,-22.9167,-43.2508
